onset	duration	trial_type	value	sample
120.06	12.0	practice/RIGHT	3	667
155.16	12.0	practice/RIGHT	3	862
189.9	12.0	practice/LEFT	2	1055
224.64000000000001	12.0	practice/LEFT	2	1248
336.06	12.0	Baseline	1	1867
349.02000000000004	12.0	Baseline	1	1939
379.98	12.0	Baseline	1	2111
388.08000000000004	12.0	Baseline	1	2156
399.06	12.0	Baseline	1	2217
403.02000000000004	12.0	Baseline	1	2239
406.98	12.0	Baseline	1	2261
415.08000000000004	12.0	Baseline	1	2306
415.98	12.0	Baseline	1	2311
417.06	12.0	Baseline	1	2317
439.74	12.0	test/LEFT	4	2443
474.3	12.0	test/LEFT	4	2635
509.22	12.0	test/RIGHT	5	2829
543.96	12.0	test/RIGHT	5	3022
579.0600000000001	12.0	test/LEFT	4	3217
613.62	12.0	test/RIGHT	5	3409
648.5400000000001	12.0	test/LEFT	4	3603
683.1	12.0	test/RIGHT	5	3795
718.38	12.0	test/RIGHT	5	3991
752.94	12.0	test/RIGHT	5	4183
788.0400000000001	12.0	test/LEFT	4	4378
822.6	12.0	test/RIGHT	5	4570
857.88	12.0	test/LEFT	4	4766
892.44	12.0	test/RIGHT	5	4958
927.36	12.0	test/LEFT	4	5152
961.9200000000001	12.0	test/RIGHT	5	5344
997.02	12.0	test/RIGHT	5	5539
1031.76	12.0	test/LEFT	4	5732
1066.8600000000001	12.0	test/LEFT	4	5927
1101.42	12.0	test/LEFT	4	6119
