onset	duration	trial_type	value	sample
77.83	12.0	practice/RIGHT	3	430
112.401	12.0	practice/RIGHT	3	621
147.153	12.0	practice/LEFT	2	813
181.724	12.0	practice/LEFT	2	1004
249.96099999999998	12.0	Baseline	1	1381
253.94299999999998	12.0	Baseline	1	1403
259.01099999999997	12.0	Baseline	1	1431
276.93	12.0	Baseline	1	1530
285.075	12.0	Baseline	1	1575
291.048	12.0	Baseline	1	1608
297.926	12.0	Baseline	1	1646
301.003	12.0	Baseline	1	1663
314.03499999999997	12.0	Baseline	1	1735
316.026	12.0	Baseline	1	1746
371.774	12.0	test/RIGHT	5	2054
406.888	12.0	test/RIGHT	5	2248
441.459	12.0	test/LEFT	4	2439
476.573	12.0	test/LEFT	4	2633
511.144	12.0	test/RIGHT	5	2824
546.077	12.0	test/LEFT	4	3017
580.648	12.0	test/LEFT	4	3208
615.581	12.0	test/RIGHT	5	3401
650.152	12.0	test/RIGHT	5	3592
685.085	12.0	test/LEFT	4	3785
719.656	12.0	test/RIGHT	5	3976
754.5889999999999	12.0	test/LEFT	4	4169
789.16	12.0	test/RIGHT	5	4360
824.093	12.0	test/RIGHT	5	4553
858.664	12.0	test/LEFT	4	4744
893.597	12.0	test/LEFT	4	4937
928.168	12.0	test/RIGHT	5	5128
962.92	12.0	test/LEFT	4	5320
997.672	12.0	test/LEFT	4	5512
1032.786	12.0	test/RIGHT	5	5706
